stratum_id,test_id,elapsed_hours,water_table_depth_cm,tube_depth_cm,rainfall_mm,irrigation_on,measurement_quality_flag
SYNTHETIC_A,PERC_TEST_1,0,0,35,0,FALSE,ok
SYNTHETIC_A,PERC_TEST_1,2,0.4,35,0,FALSE,ok
SYNTHETIC_A,PERC_TEST_1,6,1.1,35,0,FALSE,ok
SYNTHETIC_A,PERC_TEST_1,12,2.0,35,0,FALSE,ok
SYNTHETIC_A,PERC_TEST_1,24,3.6,35,0,FALSE,ok
SYNTHETIC_A,PERC_TEST_1,48,6.2,35,0,FALSE,ok
SYNTHETIC_B,PERC_TEST_1,0,0,25,0,FALSE,ok
SYNTHETIC_B,PERC_TEST_1,1,0.8,25,0,FALSE,ok
SYNTHETIC_B,PERC_TEST_1,2,1.6,25,0,FALSE,ok
SYNTHETIC_B,PERC_TEST_1,4,3.1,25,0,FALSE,ok
SYNTHETIC_B,PERC_TEST_1,8,6.0,25,0,FALSE,ok
